Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904407173,0,39,2,43
1764904407216,0,39,2,43
1764904407259,0,39,2,43
1764904407302,0,39,2,42
1764904407346,0,39,2,43
1764904407391,0,39,4,45
1764904407433,0,37,2,41
1764904407475,0,38,2,41
1764904407518,0,40,2,43
1764904407562,0,40,2,43
1764904407605,0,39,2,42
1764904407649,0,40,3,43
1764904407692,0,39,2,42
1764904407735,0,39,2,43
1764904407778,0,39,2,43
1764904407821,0,39,2,43
1764904407865,1,38,2,42
1764904407909,0,40,3,44
1764904407953,0,39,3,43
1764904407996,0,38,3,43
1764904408038,0,37,2,41
1764904408082,0,39,3,43
1764904408126,0,39,3,43
1764904408168,0,38,3,42
1764904408211,0,39,2,42
1764904408254,0,39,2,42
1764904408297,0,39,2,42
1764904408340,0,39,2,42
1764904408384,0,40,2,43
1764904408427,0,40,2,43
1764904408470,0,40,2,43
1764904408514,0,39,2,43
1764904408557,0,39,2,43
1764904408601,0,39,3,44
1764904408643,0,38,2,41
1764904408687,0,40,2,43
1764904408731,0,39,3,43
1764904408774,0,38,2,42
1764904408816,0,38,2,41
1764904408860,0,40,2,43
1764904408904,0,38,3,42
1764904408949,0,39,4,44
1764904408990,0,37,2,41
1764904409034,0,39,3,43
1764904409077,0,39,3,43
1764904409119,0,38,2,42
1764904409163,0,39,2,43
1764904409206,0,39,2,43
1764904409249,0,40,2,43
1764904409293,0,39,2,43
1764904409338,0,41,2,45
1764904409379,0,37,2,40
1764904409422,1,38,2,42
1764904409468,1,39,5,45
1764904409509,1,35,2,38
1764904409553,1,39,2,43
1764904409596,0,38,2,42
1764904409639,0,39,2,42
1764904409682,0,40,2,43
1764904409725,0,39,2,43
1764904409768,0,39,2,42
1764904409812,0,39,3,43
1764904409856,2,37,3,43
1764904409900,0,40,3,44
1764904409942,0,37,2,41
1764904409984,0,39,2,42
1764904410028,0,40,2,43
1764904410071,0,39,2,42
1764904410116,0,39,4,45
1764904410158,0,36,3,41
1764904410202,0,39,2,43
1764904410245,0,36,3,41
1764904410292,0,39,7,47
1764904410332,0,34,3,39
1764904410374,0,39,2,42
1764904410417,0,37,2,40
1764904410462,0,36,3,40
1764904410505,0,38,3,42
1764904410547,0,36,2,39
1764904410590,0,40,2,43
1764904410633,0,39,2,43
1764904410677,0,39,2,42
1764904410721,0,40,2,43
1764904410764,0,39,2,42
1764904410808,0,39,3,43
1764904410850,0,38,2,42
1764904410894,0,39,2,43
1764904410936,0,38,2,42
1764904410979,0,39,2,42
1764904411024,0,40,3,44
1764904411067,0,38,2,42
1764904411110,1,37,2,41
1764904411155,3,36,4,45
